"日/月","1","2","3","4","5","6","7","8","9","10","11","12"
"01","0.5","0.0","9.0","2.0","34.0","1.0","0.0","X","13.5","28.0","25.0","0.0"
"02","0.0","0.0","8.0","0.0","9.5","56.5","3.0","X","0.5","7.5","0.5","0.0"
"03","0.5","0.0","0.0","0.0","0.0","2.5","6.0","X","0.0","1.5","0.0","0.0"
"04","0.0","0.0","0.0","13.5","15.0","7.0","0.0","X","0.0","28.0","0.0","0.0"
"05","0.0","0.5","0.0","0.5","1.0","19.0","0.0","0.0","20.5","13.0","0.0","0.0"
"06","0.0","0.0","0.0","5.0","0.0","6.0","73.0","0.5","0.0","0.0","0.0","0.0"
"07","0.0","16.5","11.5","3.5","0.0","1.0","28.0","26.5","4.5","21.5","0.0","0.0"
"08","0.0","28.0","0.0","3.0","0.0","3.5","11.5","47.0","0.5","22.5","0.0","0.5"
"09","0.0","16.0","0.0","2.5","0.0","1.0","1.0","4.0","3.0","0.5","0.0","0.5"
"10","0.5","0.5","0.5","1.0","0.0","0.5","4.0","20.0","0.5","0.0","0.0","0.0"
"11","0.0","0.0","39.0","0.0","0.0","0.5","0.0","4.0","0.0","0.0","0.0","0.0"
"12","0.0","0.0","1.5","0.5","4.5","3.5","0.0","12.0","0.0","0.0","0.0","0.0"
"13","0.0","0.0","0.0","0.0","15.0","0.0","0.5","16.0","0.0","0.0","0.0","1.0"
"14","0.0","0.0","0.0","0.0","8.5","7.0","0.0","24.0","0.0","0.0","0.0","1.0"
"15","0.0","0.0","0.5","1.0","0.5","0.0","0.0","21.0","0.0","0.0","0.0","0.5"
"16","0.0","0.0","0.0","0.0","0.0","0.0","2.5","70.0","0.0","0.0","0.0","0.0"
"17","0.0","0.0","0.0","0.0","0.0","0.0","7.0","6.0","0.0","0.0","1.5","0.0"
"18","0.0","0.0","0.0","15.5","3.5","0.5","0.0","5.5","0.0","0.0","1.5","0.0"
"19","0.0","0.0","12.5","1.0","8.0","0.0","2.0","0.0","0.0","0.0","0.5","0.0"
"20","0.0","0.0","0.0","0.5","0.0","0.0","1.0","0.5","0.0","0.0","0.0","0.0"
"21","21.5","0.0","0.0","0.0","7.5","0.0","0.0","2.5","17.5","0.0","0.5","0.5"
"22","3.0","0.0","0.0","0.0","8.0","0.0","0.0","0.0","10.5","0.0","0.0","0.5"
"23","24.0","0.0","0.0","2.5","14.5","0.0","0.0","2.5","11.5","0.0","0.0","26.0"
"24","0.5","0.0","0.0","51.0","3.5","0.0","187.5","17.0","10.5","0.0","0.0","6.5"
"25","1.0","0.0","0.0","20.0","0.0","47.0","142.0","0.5","0.0","1.0","0.0","0.0"
"26","0.0","0.0","0.0","14.5","0.0","2.0","X","0.0","0.5","0.0","2.5","0.0"
"27","0.0","2.0","0.0","0.0","4.5","0.0","X","0.0","11.0","0.0","0.0","0.0"
"28","0.0","0.0","0.0","13.5","38.5","0.5","X","0.0","0.0","1.0","0.0","0.5"
"29","3.0","1.5","0.0","0.0","5.5","0.0","X","6.0","0.0","0.5","0.0","0.0"
"30","0.0","--","1.0","40.0","14.5","0.0","X","7.0","0.0","26.0","0.0","0.0"
"31","0.0","--","24.5","--","1.5","--","X","0.0","--","82.5","--","0.0"
"總和","54.5","65.0","108.0","191.0","197.5","159.0","469.0","292.5","104.5","233.5","32.0","37.5"
