"日/時","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","總和"
"01","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","&","0.0","0.0"
"02","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"03","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","8.0","0.0","0.0","0.5","0.5","4.0","0.5","0.0","0.0","0.0","0.0","0.5","0.0","0.0","14.0"
"04","0.0","0.0","&","0.5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3.0","1.0","4.0","2.0","3.0","3.5","0.5","0.0","&","&","0.0","0.0","17.5"
"05","0.0","0.0","0.0","0.5","0.0","&","4.0","1.0","0.0","&","0.0","0.0","0.0","6.0","0.5","0.5","0.0","0.5","1.0","0.5","0.5","&","&","0.0","15.0"
"06","0.0","0.0","0.0","0.0","0.0","0.0","0.0","&","0.0","0.0","&","0.0","0.0","&","&","0.5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5"
"07","0.0","0.0","0.0","&","0.0","0.0","0.0","0.0","0.0","0.0","&","0.0","0.0","0.0","&","&","0.0","0.0","0.0","2.0","0.0","&","0.0","0.0","2.0"
"08","&","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5","0.0","0.0","&","0.0","0.0","0.0","&","0.0","0.0","0.0","0.0","0.0","0.0","&","0.5"
"09","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5","0.0","0.0","0.0","&","0.0","&","&","0.0","0.0","0.0","0.5"
"10","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"11","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0"
"12","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.5","1.5","1.0","0.5","0.5","0.0","0.0","0.5","0.0","1.0","1.5","1.0","0.5","9.5"
"13","0.5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3.5","3.5","0.0","0.0","0.0","0.5","2.5","0.5","0.0","0.0","0.0","0.0","0.0","11.0"
"14","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"15","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"16","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.5","0.0","0.0","0.0","2.5"
"17","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.5","30.5","6.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","41.0"
"18","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.0","11.5","0.5","0.0","1.5","0.5","0.0","0.0","0.0","0.0","0.0","18.0"
"19","0.0","0.0","0.0","0.5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5","14.5","0.0","0.0","0.0","&","0.0","0.0","0.0","0.0","15.5"
"20","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5","&","&","0.5","0.0","&","&","&","&","0.0","0.0","1.0"
"21","0.0","0.0","0.0","0.0","0.0","0.0","&","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","&","0.0","&","0.0","0.0","0.0","0.0","0.0","0.0"
"22","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"23","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"24","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","&","0.0","&","0.0","0.0","2.0","4.0","1.5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","7.5"
"25","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","&","&","0.0","4.0","0.0","0.0","0.0","0.5","0.0","0.5","6.0","0.0","0.0","0.0","11.0"
